Sl.No,State/UT,No. of Cases,Area Diverted (in Hectare),,,Area,Forest area,Forest area hectares
1,Andaman and Nicobar Islands,94,2579.29,"8,249",100,824900,6742.00,674200
2,Andhra Pradesh,359,26271.95,"162,970",100,16297000,28147.00,2814700
3,Arunachal Pradesh,202,19159.3,"83,743",100,8374300,66964.00,6696400
4,Assam,243,3937.4,"78,438",100,7843800,28105.00,2810500
5,Bihar,194,5974.58,"94,165",100,9416500,7299.00,729900
6,Chandigarh,33,90.77,114,100,11400,22.00,2200
7,Chhattisgarh,431,85424.21,"135,191",100,13519100,55547.00,5554700
8,Dadar and Nagar Haveli,150,276.53,491,100,49100,207.00,20700
9,Daman and Diu,1,3.95,112,100,11200,20.00,2000
10,Delhi,15,42.21,"1,483",100,148300,192.00,19200
11,Goa,87,2065.34,"3,702",100,370200,2229.00,222900
12,Gujarat,1452,65751.63,"196,024",100,19602400,14757.00,1475700
13,Haryana,3394,7260.05,"44,212",100,4421200,1588.00,158800
14,Himachal Pradesh,1469,12935.73,"55,673",100,5567300,15100.00,1510000
15,Jammu and Kashmir,7,656.45,"101,387",100,10138700,23241.00,2324100
16,Jharkhand,333,22155.94,"79,714",100,7971400,23553.00,2355300
17,Karnataka,766,46041.06,"191,791",100,19179100,37550.00,3755000
18,Kerala,227,40765.63,"38,863",100,3886300,20321.00,2032100
19,Lakshadweep,0,0,32,100,3200,27.00,2700
20,Madhya Pradesh,1037,249708.4,"308,350",100,30835000,77414.00,7741400
21,Maharashtra,1410,61615.64,"307,713",100,30771300,50682.00,5068200
22,Manipur,39,3203.17,"22,327",100,2232700,17346.00,1734600
23,Meghalaya,97,772.77,"22,429",100,2242900,17146.00,1714600
24,Mizoram,24,6237.48,"21,081",100,2108100,18186.00,1818600
25,Nagaland,0,0,"16,579",100,1657900,12489.00,1248900
26,Orissa,508,50182.8,"155,707",100,15570700,51345.00,5134500
27,Pondicherry,1,0.96,492,100,49200,54.00,5400
28,Punjab,4170,68872.63,"50,362",100,5036200,1837.00,183700
29,Rajasthan,691,28112.68,"342,238",100,34223800,16572.00,1657200
30,Sikkim,405,2764.88,"7,096",100,709600,3344.00,334400
31,Tamil Nadu,476,2586.37,"130,058",100,13005800,26281.00,2628100
32,Telangana,241,27542.55,"112,077",100,11207700,20419.00,2041900
33,Tripura,321,7909.38,"10,486",100,1048600,7726.00,772600
34,Uttar Pradesh,926,19556.64,"243,290",100,24329000,14679.00,1467900
35,Uttarakhand,4260,43233.42,"53,483",100,5348300,24295.00,2429500
36,West Bengal,115,4520.91,"88,752",100,8875200,16847.00,1684700
